title,artist,album,duration_seconds,audio_url,jamendo_track_id,jamendo_album_id
M  &  P  LOVE,ANGELIS & KRONOS,500 FEET UNDERGROUND,197,https://prod-1.storage.jamendo.com/?trackid=1451435&format=mp32&from=DK0Sex615nUp0DfsVuxMDQ%3D%3D%7CJBsAh%2FOQrlz1lpekMrbLkg%3D%3D,1451435,168671
Kiss My Lips (radio version),Kate Orange,Kiss my lips,202,https://prod-1.storage.jamendo.com/?trackid=438056&format=mp32&from=Oixi0Nozl%2FLzEH7EauV6iw%3D%3D%7CFLZjj314Yz5BFGqYrBufRA%3D%3D,438056,53007
The Promise,Wordsmith,The Promise,240,https://prod-1.storage.jamendo.com/?trackid=1445423&format=mp32&from=mmo4qm9YZxnJQ9aJ6LsxwQ%3D%3D%7CDF%2BxZZoAHazbaBsi%2FaSEaw%3D%3D,1445423,218938
Satellite,Major Major,Major Major,188,https://prod-1.storage.jamendo.com/?trackid=145949&format=mp32&from=9rscBkYI05KkBggnmez4eQ%3D%3D%7CtzWqBCAAS0NDIn29c3VCAA%3D%3D,145949,20784
"I'll Be Right Behind You, Josephine",Josh Woodward,Only Whispering,259,https://prod-1.storage.jamendo.com/?trackid=320060&format=mp32&from=9AGA0s8d6t73vFQ5mgfCag%3D%3D%7Cc5r7WRBKH6wTXmVdbOVZBA%3D%3D,320060,43195
Confession,Quesabe,CONFESSION_MASTER,147,https://prod-1.storage.jamendo.com/?trackid=1870094&format=mp32&from=O54jlZbu%2FN7v3kUZGfRZoA%3D%3D%7Cw%2F1sWwhEJZiLgBY6%2BMDQmw%3D%3D,1870094,448067
01-Manila,Luc Bartoli,Manila,304,https://prod-1.storage.jamendo.com/?trackid=170946&format=mp32&from=rMC04UjoIwNEd4qz2zIZdg%3D%3D%7CRMsb%2FkL9ygA%2FRFtYZDvbdQ%3D%3D,170946,25160
"SaReGaMa - Oh No, Babe (2007)",SaReGaMa,Honky Fonky (EP),255,https://prod-1.storage.jamendo.com/?trackid=73210&format=mp32&from=YLQm4836sjx4j%2BJa7qvWlw%3D%3D%7CTjYr0sOFoKDrgAboUSm3LA%3D%3D,73210,6471
Amber eyes,On returning,Silent tears in a city of strangers,214,https://prod-1.storage.jamendo.com/?trackid=959819&format=mp32&from=UQ2w8%2FxLVoH99iCRxwC4Eg%3D%3D%7CBSNgkQjbsUjzlbt0m5arxA%3D%3D,959819,112840
Summer84,Neon NiteClub,Eighty4,214,https://prod-1.storage.jamendo.com/?trackid=843024&format=mp32&from=BIj5hE3Hd7xBFbTXmqFAkA%3D%3D%7Cm4sqjl7R%2BD%2F6ikZlQcQRWA%3D%3D,843024,98504
My Little World,Other Noises,My Little World (single 2014),242,https://prod-1.storage.jamendo.com/?trackid=1126699&format=mp32&from=Qm3CFYO7nWaCcVNvBCdZaw%3D%3D%7CapVY7HvDxyGdXLBKI89mog%3D%3D,1126699,134842
Equilibrium,Ron Gelinas,Equilibrium,162,https://prod-1.storage.jamendo.com/?trackid=1557512&format=mp32&from=9rDXtGrUYZihd1hZXcYQjg%3D%3D%7C%2B26%2FObpGvCa4hqd28B6E6g%3D%3D,1557512,395527
Flowers Of September,The Tangerine Club,Old Fabric,181,https://prod-1.storage.jamendo.com/?trackid=1800917&format=mp32&from=QayqRtWS3MYOvWsmMi7gAA%3D%3D%7Cmj3znYoPIac2tg0WDpnQDg%3D%3D,1800917,196979
Baby Regresa- Cmelody Ft. The Choco,Ctoonzmusic,Ctoonz Music Mixtape,166,https://prod-1.storage.jamendo.com/?trackid=693309&format=mp32&from=eypauCobB0c4sfRM8hnrXw%3D%3D%7C%2FEITXkwhUUqSGV8asHCCSQ%3D%3D,693309,80793
Relegate the Judge,Amity in Fame,Dinner for One,280,https://prod-1.storage.jamendo.com/?trackid=188742&format=mp32&from=A9NjYZOxFQ6nlFi2FkUiqQ%3D%3D%7CtR52lfq4c8SCYJHzWWDOKg%3D%3D,188742,28245
Fire,The Guest Room,Fire,181,https://prod-1.storage.jamendo.com/?trackid=1809717&format=mp32&from=UJQkXUPhcuuAgpX27LwNbg%3D%3D%7CMCDl5JtlMoA7TQFPLFa5tQ%3D%3D,1809717,242985
Sensory Garden,andy blackwood,"cinematic, spiritual, holiday and relaxation",464,https://prod-1.storage.jamendo.com/?trackid=1224662&format=mp32&from=Do%2BDZY13n%2B1ewkRJln8tCw%3D%3D%7Cm%2Bz%2FlkJmZlazx160sFduuw%3D%3D,1224662,146700
ME & Dub,HiGhMaS,Highmas 3,165,https://prod-1.storage.jamendo.com/?trackid=768069&format=mp32&from=24JjY1i6ybEBbRimtwNcPQ%3D%3D%7CxhEibbwjBrMlmm%2F0pmHkZA%3D%3D,768069,90034
