"title","artist","album","duration_seconds","audio_url"
"Tiptoe","Zambolino","Children's Music","63","https://data.freetouse.com/music/tracks/bc1176d8-eed8-414f-b556-03d54c11427c/file/mp3/file.mp3"
"Valhalla","Aylex","Soundtrack","168","https://data.freetouse.com/music/tracks/ae9ab086-6e30-498c-9df2-d4805f4b3c93/file/mp3/file.mp3"
"Warm Rain","Zambolino","Classical","118","https://data.freetouse.com/music/tracks/cfa3b1bd-6acd-49e0-a026-f4b7cd741859/file/mp3/file.mp3"
"Unstoppable","Aylex","Soundtrack","189","https://data.freetouse.com/music/tracks/9238d410-4ce7-48c9-b290-c4e915bb9a22/file/mp3/file.mp3"
"Better Days","Sunborn","Instrumental","157","https://data.freetouse.com/music/tracks/f5c5960b-7a00-48be-b388-3c709dd1d2fb/file/mp3/file.mp3"
"Swanlake","Zambolino","New Age","149","https://data.freetouse.com/music/tracks/3aff8d54-7167-4ee6-bf4d-1420523c6269/file/mp3/file.mp3"
"Lumora","Aylex","Instrumental","132","https://data.freetouse.com/music/tracks/b92bc882-054d-4a0c-be14-f50242ecfbcc/file/mp3/file.mp3"
"Soft Static","Avanti","Electronic","188","https://data.freetouse.com/music/tracks/15baf58e-2e84-43b0-a30a-b147308c8088/file/mp3/file.mp3"
"chilly","massobeats","Instrumental","156","https://data.freetouse.com/music/tracks/74468a92-1c20-4a9d-8bf7-7cdc277b43a5/file/mp3/file.mp3"
"Geisha","Zambolino","chinese","136","https://data.freetouse.com/music/tracks/2661f463-0b0f-4b9b-9ff6-c5f9752f461a/file/mp3/file.mp3"
"Obscure","Aylex","Soundtrack","203","https://data.freetouse.com/music/tracks/7f2069ab-aa21-4999-a169-ac6939ca8b85/file/mp3/file.mp3"
"Driving On Country Roads","Dagored","Country","126","https://data.freetouse.com/music/tracks/dea2bed9-9070-498d-8f66-463f503a8fb9/file/mp3/file.mp3"
"Morning Hope","Bluewave","Inspirational","128","https://data.freetouse.com/music/tracks/6f220e78-246f-4ded-85ea-b119c6f1eac0/file/mp3/file.mp3"
"New World","Alegend","Soundtrack","199","https://data.freetouse.com/music/tracks/7e36cb3a-a5c7-47b7-b33e-3acaa672cbb9/file/mp3/file.mp3"
"The One","Burgundy X","Hip Hop/Rap","111","https://data.freetouse.com/music/tracks/dfb7921e-0397-46bf-8d4a-db1ea67c860f/file/mp3/file.mp3"
"City Life","Spiring","Easy Listening","99","https://data.freetouse.com/music/tracks/ffe5f357-28d4-493a-b7d8-9c581e3e7f6a/file/mp3/file.mp3"
"Motions","Sunborn","Instrumental","122","https://data.freetouse.com/music/tracks/65c6f488-e939-4464-8e72-9c1a72fa9f6e/file/mp3/file.mp3"
"Train Rag","Zambolino","Electronic","112","https://data.freetouse.com/music/tracks/de072c6d-4c3d-4468-87da-1c17a28c70cc/file/mp3/file.mp3"
"Next Step","Aylex","Instrumental","118","https://data.freetouse.com/music/tracks/20b417b2-6cf8-44d0-bedc-7d5f247f90b1/file/mp3/file.mp3"
"Snap Attack","Aylex","Hip Hop/Rap","88","https://data.freetouse.com/music/tracks/8e4716a0-0f36-4669-bc1e-eaf74baa968b/file/mp3/file.mp3"
"Sultan","Zambolino","World","107","https://data.freetouse.com/music/tracks/1c227098-3e7f-4ab6-99be-49686a4094db/file/mp3/file.mp3"
"Vacation","Sunborn","Electronic","161","https://data.freetouse.com/music/tracks/12ecf0e4-d47d-48f0-be5d-884ffd09a4bb/file/mp3/file.mp3"
"Tape Memories","Aventure","Hip Hop/Rap","152","https://data.freetouse.com/music/tracks/9f6976d6-efbd-413a-bcc0-b35129e88efb/file/mp3/file.mp3"
"Level Up","Aylex","Instrumental","137","https://data.freetouse.com/music/tracks/09234107-742a-4ec0-9a9b-9bec0c3df48c/file/mp3/file.mp3"
"Emotive Technology","Bluewave","Instrumental","140","https://data.freetouse.com/music/tracks/0bf398cf-dbcf-40e7-9a22-83785328763b/file/mp3/file.mp3"
"Heist","Zambolino","Rock","95","https://data.freetouse.com/music/tracks/d27254b3-4b58-44d2-bd7c-07dde6567683/file/mp3/file.mp3"
"Happy Days","Sunborn","Electronic","131","https://data.freetouse.com/music/tracks/fa67249f-416f-4de9-b70f-2f8c346fba9b/file/mp3/file.mp3"
"Vogue Machine","Aylex","Instrumental","159","https://data.freetouse.com/music/tracks/0a824cb7-56b7-4cac-88e6-e8f680f0c629/file/mp3/file.mp3"
"Innovation Flow","Bluewave","Instrumental","121","https://data.freetouse.com/music/tracks/b4df2f01-b857-4911-b443-273caeebac43/file/mp3/file.mp3"
"ruby","massobeats","Instrumental","137","https://data.freetouse.com/music/tracks/44f13459-4b6c-4063-b86c-b6c5491fb77f/file/mp3/file.mp3"
"Insights","Aylex","Easy Listening","131","https://data.freetouse.com/music/tracks/430de930-81b2-4c84-a1e6-d621f96f05e7/file/mp3/file.mp3"
"In the Kitchen","Aventure","Hip Hop/Rap","119","https://data.freetouse.com/music/tracks/cc5b9248-135b-4f64-839f-0cf9a4271f1d/file/mp3/file.mp3"
"Imagine","Sunborn","Electronic","159","https://data.freetouse.com/music/tracks/67f994a2-55b9-45bb-96d0-d61f342556bd/file/mp3/file.mp3"
"Legends","Zambolino","Rock","95","https://data.freetouse.com/music/tracks/d7eb7fdf-38d3-49c2-a185-707e291a4095/file/mp3/file.mp3"
"Explore the Unknown","Bluewave","Inspirational","147","https://data.freetouse.com/music/tracks/bd16f6c6-d1ea-44f2-9b69-dccf046167ae/file/mp3/file.mp3"
"Aloha","Avanti","Instrumental","159","https://data.freetouse.com/music/tracks/71b5b1ae-92ea-4846-b574-aad775d65a61/file/mp3/file.mp3"
"Crossroads","Aylex","Hip Hop/Rap","146","https://data.freetouse.com/music/tracks/277f99ae-626a-4397-94e1-6c811fbacaea/file/mp3/file.mp3"
"Midnight Velvet","Dagored","R&B/Soul","120","https://data.freetouse.com/music/tracks/d6a3a0bb-ddac-473b-95e7-abd7aa50d50d/file/mp3/file.mp3"
"Drip","Aylex","Electronic","100","https://data.freetouse.com/music/tracks/fc506a71-d618-4f60-995f-46e0997274ae/file/mp3/file.mp3"
"Far Away","Sunborn","Electronic","142","https://data.freetouse.com/music/tracks/0cfa943e-9b6f-49a7-9fb2-5baa953d6b65/file/mp3/file.mp3"
"Uke Waves","Aylex","Easy Listening","129","https://data.freetouse.com/music/tracks/25b07db9-e62f-41d2-8609-5a882f3ef948/file/mp3/file.mp3"
"Eastbound","Burgundy X","Hip Hop/Rap","97","https://data.freetouse.com/music/tracks/b2d1d717-fee7-40a8-bd4d-c8d6131f9396/file/mp3/file.mp3"
